Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
MTHFR	O60925	PFDN1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|0|2	2	3	0.06	0.00|0.00|0.25	0|0|1	0.0842	0.2525	0.8506
MTHFR	Q9NRN7	AASDHPPT	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.01	0.00|0.01|0.00	2|1|0	0.0050	0.0150	0.9550
MTHFR	P55036	PSMD4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|2	4	3	0.05	0.06|0.00|0.06	1|0|2	0.0400	0.0625	0.9118
MTHFR	O75396	SEC22B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	4|2|5	11	3	0.00	0.00|0.00|0.00	2|4|5	0.0000	0.0000	0.9965
MTHFR	P0DI83	RAB34	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|1	2	3	0.00	0.00|0.00|0.00	1|0|1	0.0000	0.0000	0.9965
MTHFR	P35222	CTNNB1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	4|0|0	0.0017	0.0050	0.9641
MTHFR	Q14566	MCM6	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|5|0	6	3	0.00	0.00|0.01|0.00	8|0|0	0.0033	0.0100	0.9584
MTHFR	P35221	CTNNA1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.00	0.00|0.00|0.00	7|0|0	0.0000	0.0000	0.9965
MTHFR	Q99877	HIST1H2BN	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|7|2	12	3	0.00	0.00|0.00|0.00	8|2|2	0.0017	0.0050	0.9641
MTHFR	Q9NZI8	IGF2BP1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	4|8|6	18	3	0.00	0.00|0.00|0.00	13|3|7	0.0000	0.0000	0.9965
MTHFR	B9A064	IGLL5	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|1	2	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.9965
MTHFR	P08133	ANXA6	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|1|1	3	3	0.00	0.00|0.00|0.00	2|1|1	0.0000	0.0000	0.9965
MTHFR	Q14C86	GAPVD1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|1|2	4	3	0.00	0.00|0.00|0.00	1|0|2	0.0000	0.0000	0.9965
MTHFR	P38646	HSPA9	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|4|5	12	3	0.00	0.00|0.00|0.00	9|3|4	0.0000	0.0000	0.9965
MTHFR	P61026	RAB10	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|1	2	3	0.00	0.00|0.00|0.00	1|1|1	0.0000	0.0000	0.9965
MTHFR	Q9BSJ8	ESYT1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	6|5|5	16	3	0.08	0.20|0.02|0.04	1|3|4	0.0867	0.2000	0.8466
MTHFR	Q99986	VRK1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|3|0	3	3	0.05	0.00|0.13|0.00	3|0|0	0.0442	0.1325	0.9071
MTHFR	Q15785	TOMM34	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|3|4	10	3	0.00	0.00|0.00|0.01	3|3|1	0.0025	0.0075	0.9606
MTHFR	P35659	DEK	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|5|1	7	3	0.03	0.00|0.09|0.00	6|0|0	0.0283	0.0850	0.9228
MTHFR	P35658	NUP214	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|4|0	4	3	0.00	0.00|0.00|0.00	12|0|0	0.0000	0.0000	0.9965
MTHFR	P62701	RPS4X	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	14|15|22	51	3	0.00	0.00|0.00|0.00	19|15|22	0.0000	0.0000	0.9965
MTHFR	P24534	EEF1B2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|4|1	7	3	0.00	0.00|0.00|0.00	4|3|1	0.0000	0.0000	0.9965
MTHFR	Q9Y3A5	SBDS	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|2	3	3	0.08	0.02|0.00|0.18	1|1|0	0.0692	0.1825	0.8759
MTHFR	Q7L2H7	EIF3M	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|1|0	2	3	0.00	0.00|0.00|0.00	3|0|0	0.0000	0.0000	0.9965
MTHFR	P49588	AARS	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	9|6|6	21	3	0.03	0.09|0.00|0.00	5|4|4	0.0308	0.0925	0.9205
