Bait	Prey	PreyGene	IP	Spec	SpecSum	NumRep	Prob	iProb	ctrlCounts	AvgP	MaxP	FDR
MTHFR	P54577	YARS	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|4|4	10	3	0.98	0.97|0.99|0.98	0|0|0	0.9825	0.9875	0.0093
MTHFR	P0DMV9	HSPA1B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	67|56|65	188	3	0.00	0.00|0.00|0.00	10|5|11	0.0000	0.0000	0.8885
MTHFR	P68366	TUBA4A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	3|1|1	5	3	0.92	0.96|0.84|0.94	0|0|0	0.9108	0.9575	0.0375
MTHFR	P54619	PRKAG1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|2	4	3	0.66	0.95|0.00|0.94	0|0|0	0.6275	0.9475	0.0650
MTHFR	Q13112	CHAF1B	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.8885
MTHFR	O43237	DYNC1LI2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|0	1	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.8885
MTHFR	Q15942	ZYX	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|1	3	3	0.57	0.88|0.00|0.79	0|0|0	0.5600	0.8850	0.1170
MTHFR	P09651	HNRNPA1	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	11|36|12	59	3	0.06	0.01|0.18|0.01	3|1|2	0.0683	0.1825	0.3968
MTHFR	Q9Y3U8	RPL36	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|2	4	3	0.68	0.92|0.00|0.93	0|0|0	0.6150	0.9275	0.0747
MTHFR	Q96N67	DOCK7	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|2|0	4	3	0.32	0.56|0.39|0.00	0|0|0	0.3192	0.5650	0.1900
MTHFR	O00629	KPNA4	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|2|0	2	3	0.29	0.00|0.76|0.00	0|0|0	0.2525	0.7575	0.3442
MTHFR	Q9Y4R8	TELO2	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	1|0|1	2	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.8885
MTHFR	P40227	CCT6A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	13|10|17	40	3	0.98	0.98|0.97|0.99	0|0|0	0.9817	0.9875	0.0098
MTHFR	Q9HB71	CACYBP	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	12|9|10	31	3	0.98	0.99|0.97|0.98	0|0|0	0.9842	0.9925	0.0079
MTHFR	Q6PD62	CTR9	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.8885
MTHFR	P40222	TXLNA	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	2|0|2	4	3	0.65	0.91|0.00|0.92	0|0|0	0.6117	0.9200	0.0790
MTHFR	O00148	DDX39A	IP_MTHFR_WT5F|IP_MTHFR_WT1F|IP_MTHFR_WT18F	0|1|0	1	3	0.00	0.00|0.00|0.00	0|0|0	0.0000	0.0000	0.8885
